;Run 1;Run 2;Run 3;Run 4;Run 5;Run 6;Run 7;Run 8;Run 9;Run 10;Run 11;Run 12;Run 13;Run 14;Run 15;Run 16;Run 17;Run 18;Run 19;Run 20;Run 21;Run 22;Run 23;Run 24;Run 25;Run 26;Run 27;Run 28;Run 29;Run 30;
Fundamentalist;38869.21;37516.734;38115.145;38867.98;42988.484;37853.266;37756.363;39341.004;39048.43;37681.844;37827.56;42414.188;41412.13;40847.45;40762.258;40496.08;40284.645;39826.246;39913.31;39998.05;38307.105;37715.543;37226.617;40444.41;41049.45;38663.688;37093.156;37538.06;37438.664;36882.36; 
CoppCurve;32871.35;30584.326;31758.436;31012.97;36866.098;33403.113;31016.178;33348.37;33645.062;30373.252;31685.22;34880.516;33397.465;32652.445;35368.96;34213.03;33243.61;35192.06;32650.418;34409.35;30792.082;30233.523;29355.857;33390.613;34017.98;30662.986;29253.32;29182.229;31789.297;29295.262; 
RAVI;10283.128;16686.332;9298.685;8698.96;8500.727;8846.553;11430.071;9941.464;9164.945;12449.3545;16628.09;8668.271;12352.707;10319.954;8187.029;8750.92;12527.992;8370.331;11440.906;8043.6807;10848.932;16510.633;17060.375;13897.372;9488.688;16407.293;19068.398;10490.905;7883.2837;8922.695; 
WilliamR;22575.213;13185.906;15782.551;15771.3545;17652.328;14108.447;18025.514;19060.953;18471.678;17376.982;18577.059;17093.11;17290.252;22497.598;20421.367;22525.615;16218.098;20075.92;13618.752;21864.99;17534.777;19423.465;14542.278;19459.643;14378.512;15093.081;12633.429;16987.457;17701.887;17161.188; 
TripleExpMovingAverage;16804.572;12253.87;13953.786;13522.764;15888.613;19417.54;14330.581;18398.188;17424.66;14266.148;15578.818;11796.852;12440.27;8833.0205;14715.42;14381.115;13929.693;15521.925;11677.76;16370.407;11697.676;9920.455;13504.669;13102.89;13972.992;14010.99;15839.636;14574.738;18757.293;10930.978; 
StochasticOscillatorK;20180.033;8502.9375;12688.614;9365.371;12786.638;16195.63;16637.291;14109.931;15609.569;11501.753;14788.669;14777.307;8418.032;17708.436;16824.436;13886.6455;19011.074;25149.15;7846.0493;17811.977;18830.844;13347.142;13587.815;8194.055;10173.992;10503.867;14947.62;14647.178;11537.104;22761.76; 
WMA;7978.7637;12781.529;15336.412;13023.25;20824.316;18739.594;12014.61;17158.928;17562.994;12869.144;10167.551;15356.283;12415.077;9329.359;16301.078;12817.169;13566.463;16138.319;12092.066;14294.756;7331.0566;9301.816;12034.924;10734.126;12025.626;11543.161;13592.507;10402.345;14853.482;9843.647; 
NVI;6218.936;6051.2275;6110.8457;6083.9907;6579.1885;6238.461;6037.7383;6214.184;6206.16;5932.772;6145.511;6388.0303;6232.3096;6157.478;6450.272;6316.734;6224.531;6451.173;6196.6323;6304.3506;6020.7793;6037.8003;5869.5615;6247.2256;6294.7007;6016.1006;5872.436;5857.4526;6195.5825;5923.456; 
RSI;28749.352;15731.264;22529.793;14766.188;25311.621;18367.41;23574.102;14806.072;21678.89;16625.184;22684.686;19069.914;12421.397;14864.8955;16418.303;13895.167;13581.199;26205.97;24042.678;19785.553;23865.562;14251.437;16558.918;19261.531;16906.86;22265.348;11484.963;19385.023;27326.81;20906.467; 
HMA;14335.476;12722.364;15913.358;13844.862;15041.07;18498.82;15952.999;16506.63;17645.387;14328.858;12960.484;12870.861;13699.604;10842.37;19310.02;14407.717;14148.948;15371.949;12802.136;17042.41;13304.559;10763.881;14462.466;14592.911;13082.37;11744.078;14221.067;14116.61;17399.014;11932.845; 
PVI;32775.418;30239.16;32053.355;31446.672;37058.117;33346.938;31138.03;33000.42;33486.58;30007.559;32018.762;35142.152;33589.945;32336.654;35036.836;33686.52;33165.65;35626.918;32477.291;34346.215;31076.006;29807.625;29044.074;33659.285;33740.223;30903.648;28839.84;28964.242;31817.814;29385.332; 
KAMA;8824.981;12173.937;9265.072;9892.3125;20662.812;16906.785;8456.987;14484.957;14540.361;11109.204;6071.9214;13958.697;8719.966;7443.814;12741.748;11068.144;14046.238;13375.622;13378.4795;14757.79;8067.186;7953.125;8686.546;11191.856;9276.431;9483.95;7667.3047;8222.23;8940.937;9888.989; 
MACD;8039.5303;12231.105;12309.429;12644.405;19384.963;18554.547;14291.481;17201.275;14514.581;12684.114;10475.788;12149.712;11591.443;9392.139;16511.475;12620.595;13883.658;16001.031;12250.917;14567.892;9383.839;9004.204;12184.377;12871.2295;12280.645;10433.592;11069.227;10391.507;16651.71;9868.023; 
PPO;8042.1147;11936.169;12555.227;12853.674;18698.717;18867.418;14132.907;17269.188;14648.522;12789.294;10240.748;12179.062;11934.265;9227.956;15915.077;12872.017;13809.644;16459.049;11905.145;13992.174;9298.61;9094.941;12227.184;12870.695;12346.157;10694.218;10985.19;10188.088;17100.408;9750.586; 
ExpMovingAverage;8217.986;11944.235;14910.98;12221.454;19146.113;18155.605;11863.614;16568.445;14086.14;12209.404;10396.633;14564.139;11938.779;9112.988;15180.929;10782.17;13709.351;15652.916;12024.915;14020.023;8062.6807;8999.997;10719.985;10168.838;11637.3125;9829.985;8799.195;10334.765;14261.084;9546.845; 
SimpleMovingAverage;7781.3604;11332.881;8026.2637;9015.954;9903.362;14541.7295;7076.034;13749.615;13125.23;9793.785;5879.32;8821.081;8442.551;7836.8267;8694.184;10664.26;11712.512;11213.745;8694.17;10319.265;7928.819;7060.1006;8392.837;8848.697;8470.963;8516.905;6663.5317;7245.2783;5981.0444;7773.333; 
ZLEMA;25551.438;17641.076;21756.357;16359.265;23174.135;21570.414;16439.223;13719.422;21733.693;16248.025;23564.395;18077.648;16880.625;15933.214;26350.496;17323.861;13590.751;22385.885;18254.07;23795.924;21909.055;21727.662;16498.193;16252.405;17303.057;19993.53;17212.947;14931.883;24828.924;23023.084; 
AD;17778.488;27343.617;24523.07;25229.703;23459.945;30797.277;26490.227;27422.72;24492.906;25509.672;20351.84;22926.238;22243.22;20184.424;21110.865;27374.34;23925.13;22266.07;22224.094;25173.445;26080.635;23426.791;23309.924;26296.365;28828.197;26238.951;25626.254;24071.434;26325.486;23416.502; 
Chaikin;19126.703;24516.676;23228.926;25273.377;13586.248;20083.447;20204.916;23280.89;20677.178;25369.281;21792.916;16240.898;26242.549;24175.432;20415.271;26714.672;20750.412;16662.82;20024.652;19811.82;22622.582;27753.346;26609.082;19770.393;27172.945;22924.65;26998.441;27310.557;16575.709;24837.24; 
ROC;28194.344;27315.703;27317.545;28450.27;18114.88;27871.264;27792.123;27031.771;23154.19;23636.13;30894.19;26588.352;23606.928;30052.754;24301.623;27238.24;26532.139;24670.96;28932.693;31305.271;31732.094;29829.105;26057.693;28826.266;31567.045;26272.547;26694.27;24896.348;28701.18;30395.549; 
DoubleExpMovingAverage;8422.252;13079.029;16496.11;12819.523;15232.214;18569.9;14346.248;18242.373;16500.982;13753.181;12426.339;12260.1455;13119.938;8294.347;17643.844;12900.172;14078.244;15850.008;12790.106;16475.582;9639.995;9400.779;12350.883;12851.974;13992.1045;11391.151;14286.681;10751.377;17325.387;10115.264; 
VWAP;129791.37;113448.41;118100.46;115862.89;108915.38;118725.164;111257.266;109379.055;113535.19;109162.664;127882.35;114796.09;117451.734;112103.46;123234.87;117948.79;111404.625;128521.95;116655.11;116594.97;112569.36;117356.16;104545.305;126443.59;116920.836;107022.766;103625.445;108999.945;119643.695;114066.27; 
MVWAP;75963.1;66076.79;67478.34;68172.625;60349.836;67657.63;67888.51;57086.633;65467.504;61493.023;75247.53;67949.914;65140.78;68570.086;69352.04;70798.12;61745.125;72644.164;68250.61;58669.83;66344.055;71882.88;59813.926;65924.22;66923.07;62502.234;57519.043;62549.266;68826.47;66197.71; 
