;Run 1;Run 2;Run 3;Run 4;Run 5;Run 6;Run 7;Run 8;Run 9;Run 10;Run 11;Run 12;Run 13;Run 14;Run 15;Run 16;Run 17;Run 18;Run 19;Run 20;Run 21;Run 22;Run 23;Run 24;Run 25;Run 26;Run 27;Run 28;Run 29;Run 30;
Fundamentalist;30649.309;31640.55;30730.535;31117.969;27946.553;30633.014;29408.195;31533.654;30455.879;29648.727;30075.58;31574.27;30589.633;30304.682;30906.244;31271.9;30296.176;29130.916;29697.184;31396.285;30505.213;30308.27;29855.092;31385.482;30834.395;30341.703;30472.12;29744.492;28091.635;28751.268; 
CoppCurve;7054.06;7872.3027;8811.395;5358.7817;3417.2463;6350.7275;4950.2676;7355.0654;6776.5747;4531.1074;8359.404;9492.379;6589.548;4014.8367;6559.174;6992.2153;5623.9067;4155.987;6458.072;8661.373;7868.017;6594.736;5588.191;7554.082;5988.911;6551.73;5075.677;4357.621;3142.1853;4173.5767; 
RAVI;4403.988;4440.4277;4496.7793;4224.3765;3779.3865;4310.7534;4196.573;4471.22;4286.5513;3921.832;4567.42;4696.779;4505.1616;4076.9807;4270.288;4661.7744;4092.031;3897.451;4250.9033;4536.5947;4595.876;4288.232;3948.524;4470.595;4234.218;4272.4824;4199.2144;3884.1392;3889.4102;3971.673; 
WilliamR;5308.8184;5264.836;6270.926;4715.4253;4036.1448;5055.9424;4416.1763;5425.97;5257.829;4373.417;6205.489;7049.3916;5229.111;3829.6038;4742.2827;5377.676;4714.655;4028.9187;5137.6377;5758.28;5475.0728;5003.083;4574.184;5286.519;4864.27;5373.1694;4409.6777;4264.406;3834.6492;4081.1094; 
TripleExpMovingAverage;3860.9485;4287.1074;4591.369;3089.2046;2425.9336;3445.9338;3007.776;3821.5913;3632.707;2562.306;4330.9556;4715.092;4039.907;2790.2224;3575.9226;4064.6516;3195.386;2899.1165;3474.8025;4939.332;3857.4846;3608.3745;3244.9707;4142.0273;3242.9827;3533.0815;3074.74;2782.6033;2349.4707;2632.1882; 
StochasticOscillatorK;4652.6694;5405.978;5153.909;4554.2954;4123.7603;4581.402;4133.8745;4871.4487;4900.7793;4477.169;4644.0596;6958.359;4376.3643;4040.4197;4650.563;4930.809;4311.3423;4007.5325;4576.308;5265.0176;4548.1343;4704.234;4325.163;4496.8115;4217.796;4637.481;3907.2878;4391.182;3815.6572;4169.013; 
WMA;3859.7493;4652.556;4226.4478;3508.1536;2704.45;3670.5027;3667.0496;3890.6582;4192.758;3015.854;4651.2935;4783.824;3977.1116;3009.013;3686.0784;4317.684;3330.8499;2973.411;3804.3325;5572.3203;3960.4207;3875.8843;3402.554;4293.3584;3584.9072;3832.5254;3551.4827;2637.1235;1911.0983;2834.0544; 
NVI;4017.7754;4109.9316;4140.281;3832.3726;3698.8413;3894.4568;3821.3716;4017.2227;3946.199;3741.1223;4145.7144;4205.286;3909.5806;3751.5986;4002.1484;4000.22;3894.2563;3779.3188;3995.916;4081.5305;4076.0796;4031.1057;3858.6772;4052.8853;3868.8557;3950.256;3860.1897;3699.2234;3755.2405;3774.285; 
RSI;5683.026;5082.272;6483.198;4105.461;3366.696;5162.089;4471.53;4801.8774;5010.0767;4000.9922;7850.9175;6630.0312;5181.1455;4072.4722;5239.051;4633.2544;4309.4023;3889.0955;5847.303;6202.606;6259.9165;4823.8047;4831.481;5553.7056;4847.0225;5152.262;4320.196;3932.1733;3164.2212;4478.9604; 
HMA;3701.7397;4312.605;4960.022;3141.9885;2245.0413;3506.64;3110.2603;4039.3477;3683.19;2747.9768;4359.163;4917.225;3968.018;2754.7385;3707.836;4141.6235;3562.6873;2815.9226;3565.3809;5328.2754;4441.5576;3786.9854;3271.6157;4024.1587;3332.2798;3555.7244;3262.9893;2799.411;2498.237;2745.8967; 
PVI;7122.624;7804.955;8723.54;5410.7573;3362.5508;6344.708;4957.954;7271.2017;6716.021;4467.96;8341.561;9579.043;6649.8345;3963.8225;6484.437;6873.241;5591.5425;4187.8267;6261.697;8655.252;7878.6924;6498.615;5498.0513;7552.118;5921.705;6580.4336;4974.993;4312.0894;3098.965;4198.449; 
KAMA;4258.3193;4735.23;4292.27;3852.8174;2798.1252;3939.1553;3639.4075;4351.9814;4390.6104;3334.1707;4900.9473;5201.4478;4314.9673;3346.865;3886.8025;4678.9414;3752.4988;3291.1306;4049.7485;5734.905;4292.8955;4021.9224;3609.9404;4684.811;3870.8682;4084.1316;3731.2168;3016.9626;2155.99;3336.1436; 
MACD;3870.7407;4130.504;4897.0664;3330.9646;2233.519;3563.5728;3201.5063;3845.4077;3916.5503;2822.2449;4701.8066;4911.957;4107.496;2643.6182;3954.399;4231.5986;3581.994;3062.7615;3745.3281;5091.261;4360.0264;3764.6533;3359.731;4304.1104;3704.6345;3912.487;3235.007;2863.0059;1992.0338;2763.229; 
PPO;3768.692;4244.234;4672.2085;3351.0146;2112.9565;3883.358;3234.8064;3856.0085;3862.358;2791.6194;4618.299;4907.6455;4091.6738;2616.832;3850.1091;4135.483;3664.271;3112.6194;3702.5747;4807.28;4196.403;3800.0693;3392.7854;4271.2754;3675.2266;3795.4634;3285.2617;2756.678;2004.366;2782.7244; 
ExpMovingAverage;3796.7634;3887.7656;4009.2756;2856.6367;2125.481;3501.0046;3031.6038;3620.7163;3686.1074;2483.956;4449.4185;4575.1177;3845.2664;2675.902;3645.9382;3974.1807;3252.8318;2743.7283;3566.6836;5130.534;3860.8958;3568.864;3084.4382;3912.8274;3256.987;3633.962;3126.8025;2691.7405;1649.9652;2469.1921; 
SimpleMovingAverage;4183.973;4303.579;4273.3804;3550.0522;3042.0095;3769.3967;3811.882;3944.4822;3924.2668;3346.46;4500.1987;4812.846;3967.1675;3259.4487;3857.5803;3980.515;3673.9734;3233.7854;3793.465;5195.6807;3824.4036;4084.0564;3427.1655;4281.189;3698.6726;3799.6687;3736.0552;3194.7546;2261.1375;3147.007; 
ZLEMA;5669.1953;4983.706;7721.7485;4609.086;3347.8064;4653.327;4183.7144;5474.15;5341.9175;3944.722;7349.078;7247.92;4655.822;3759.3357;5097.9355;4655.105;4723.7373;3869.3528;5860.7754;5569.49;6958.78;5496.7407;4976.5522;6071.7944;4476.6533;4795.5874;4182.727;3934.4387;3160.3572;3993.206; 
AD;7203.255;7683.297;8660.358;5546.879;4865.7603;7045.31;5971.8066;7386.0024;7326.4316;5229.004;8447.185;9535.4375;7318.2227;4916.9473;7647.01;7354.856;6156.961;4493.82;6596.8223;9222.636;7418.0093;7080.872;6015.673;7462.9263;5992.81;6541.7334;5328.7827;4980.2793;4171.665;4474.6606; 
Chaikin;7828.348;9903.118;11582.307;7326.424;6584.9175;9212.286;6946.1387;9508.529;9008.817;6755.2036;10067.792;10876.991;9003.786;6192.9126;8755.133;8138.784;7810.2075;6667.54;8799.527;9312.099;9938.275;8247.603;7874.7495;9812.717;8941.089;8920.378;7767.3936;7864.9814;7225.349;6248.772; 
ROC;7974.9355;10192.744;9664.5;7211.423;7564.283;7639.751;7195.9834;9060.541;8821.64;7005.49;9473.651;10420.249;8932.876;5971.1323;8307.411;8593.17;7984.793;6238.241;8545.104;9095.5625;9705.443;8191.171;7948.8516;9263.313;8048.259;8291.006;7351.5;8028.4785;6951.9165;7025.674; 
DoubleExpMovingAverage;3835.8298;4376.429;4565.2075;3023.258;2246.7466;3577.8923;3194.6567;3694.982;3809.6533;2596.0415;4577.059;4640.819;3942.741;2725.347;3607.6255;3942.7957;3125.191;2812.0317;3527.679;5181.9536;4091.2808;3694.8713;3202.599;3944.554;3358.5955;3650.5056;3088.416;2725.532;1713.2722;2533.239; 
VWAP;62544.555;65312.434;63841.36;55812.54;54182.926;60042.1;52724.555;62439.277;60661.37;48613.47;59415.684;65170.402;60243.87;50102.97;60964.64;59146.414;57305.133;51417.598;58523.758;66203.13;61147.457;61587.21;54694.746;61828.953;56207.656;58560.76;53494.93;52471.887;51629.484;51386.496; 
