Date,Price,Open,High,Low,Vol.,Change %
1-Aug-19,9.47,9.46,9.65,9.46,15.09K,2.05%
31-Jul-19,9.28,9.3,9.5,9.13,10.89K,-2.62%
30-Jul-19,9.53,9.77,9.86,9.3,22.96K,-0.94%
29-Jul-19,9.62,9.63,9.77,9.57,13.03K,-1.94%
28-Jul-19,9.81,9.61,10.01,9.6,23.55K,0.41%
25-Jul-19,9.77,10,10,9.6,37.30K,-1.41%
24-Jul-19,9.91,10,10.13,9.67,45.48K,-0.40%
22-Jul-19,9.95,9.95,10.18,9.75,40.20K,0.61%
21-Jul-19,9.89,9.7,10.18,9.7,38.80K,4.00%
18-Jul-19,9.51,9.78,9.78,9.5,10.12K,-2.46%
17-Jul-19,9.75,9.7,9.79,9.52,2.85K,0.00%
16-Jul-19,9.75,10.18,10.18,9.55,27.42K,0.52%
15-Jul-19,9.7,9.4,10,9.4,48.38K,1.89%
14-Jul-19,9.52,9.76,9.76,9.3,32.62K,-4.23%
11-Jul-19,9.94,10.15,10.2,9.73,34.24K,-3.21%
10-Jul-19,10.27,10.35,10.55,10.13,22.72K,-1.82%
9-Jul-19,10.46,10.4,10.65,10.4,20.31K,0.77%
8-Jul-19,10.38,9.72,10.85,9.71,44.50K,-2.36%
7-Jul-19,10.631,10.598,10.837,10.441,23.02K,-1.07%
4-Jul-19,10.746,11.126,11.134,10.598,31.20K,-3.55%
3-Jul-19,11.142,11.216,11.373,10.977,23.07K,-0.81%
2-Jul-19,11.233,11.085,11.382,10.928,21.27K,2.87%
27-Jun-19,10.92,11.126,11.126,10.755,38.75K,0.69%
26-Jun-19,10.845,10.804,10.953,10.722,15.43K,1.23%
25-Jun-19,10.713,10.804,11.027,10.416,47.77K,-1.37%
24-Jun-19,10.862,10.928,11.216,10.746,8.63K,-2.51%
23-Jun-19,11.142,11.093,11.291,11.019,26.42K,1.04%
20-Jun-19,11.027,11.134,11.316,10.763,16.31K,-1.18%
19-Jun-19,11.159,11.216,11.373,10.969,9.06K,-1.67%
18-Jun-19,11.348,11.464,11.546,11.093,67.11K,-1.36%
17-Jun-19,11.505,10.969,11.678,10.969,145.74K,4.89%
16-Jun-19,10.969,10.474,11.175,10.474,22.80K,4.73%
13-Jun-19,10.474,10.573,10.722,10.425,9.53K,-1.24%
12-Jun-19,10.606,10.573,10.639,10.573,3.18K,-1.30%
11-Jun-19,10.746,10.722,10.969,10.639,10.90K,0.31%
10-Jun-19,10.713,10.549,10.862,10.474,13.77K,2.85%
9-Jun-19,10.416,10.532,10.532,10.252,10.01K,4.81%
3-Jun-19,9.938,10.103,10.128,9.897,1.22K,0.00%
2-Jun-19,9.938,9.485,9.815,9.485,3.02K,0.00%
30-May-19,9.938,10.186,10.194,9.856,9.54K,-0.91%
29-May-19,10.029,10.153,10.285,9.831,17.20K,1.08%
28-May-19,9.922,9.905,10.169,9.897,2.43K,0.00%
27-May-19,9.922,10.285,10.285,9.88,10.36K,-2.35%
26-May-19,10.161,10.26,10.301,9.971,10.11K,1.99%
